"Liu Measurement SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR w/wallfunc (X = 5D, Y = 2.3D)"			"Liu Experiment SPL-3.5NPR (X = 5D, Y = 2.3D)"			"Liu LES SPL-3.5NPR w/slipwall (X = 5D, Y = 2.3D)"	
						3.905729675	106.1067927					5.542113679	104.2112864
						3.951838256	107.5474196					5.667416438	102.7485459
						4.115954298	105.5067578					5.682465162	101.862238
						4.175720912	107.5585385						
						4.222544421	103.7765138						
						4.287684202	102.8434406						
						4.388975715	105.1798536						
						4.457569935	106.9320421						
						4.570990317	103.3259883						
						4.642337356	105.144334						
						4.834802819	103.3293846						
						4.946767983	104.9535952						
						5.039403882	102.1060185						
						5.168145911	103.7498286						
						5.315710056	100.8198107						
						5.370072921	104.0245652						
						5.381427427	102.5458598						
						5.620392861	102.451198						
						5.623552871	100.5715573						
						5.823735634	100.8772244						
